,utterance,speaker,turn_id,Gold,Annotator,Votes,Annotators,Adjudication,LLM_Emotions
51,I am asking a question and you are not reacting to it.,Jason,28,neutral,Rico,"['neutral', 'anger', 'surprise', 'anger', 'anger', 'sadness']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",anger,sadness
52,stop,Jason,30,neutral,Rico,"['neutral', 'anger', 'neutral', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",anger,neutral
53,Dean,Jason,2,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral
54,Tell me about yourself.,Dean,4,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral
55,How long have you been doing this?,Dean,6,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral
56,"Why are you happy about this? You should be worried, because I am.",Dean,8,fear,Rico,"['fear', 'sadness', 'fear', 'anger', 'fear', 'fear']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",fear,fear
57,I need assistance. I am feeling scared.,Dean,10,fear,Rico,"['fear', 'fear', 'fear', 'fear', 'fear', 'fear']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",fear,fear
58,Can you help me?,Dean,12,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral
59,My cat has run away and I think I will never find him again!,Dean,14,fear,Rico,"['fear', 'fear', 'fear', 'fear', 'sadness', 'fear']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",fear,fear
60,I am so happy you have let me know that he is probably out there!,Dean,16,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",joy,joy
61,Why is everyone proud of it? It is my cat and I am the only one who is allowed to feel emotions towards him.,Dean,18,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",anger,sadness
62,"It is my cat, not yours.",Dean,20,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",anger,sadness
63,How can we find him? He is probably dead already.,Dean,22,neutral,Rico,"['neutral', 'fear', 'fear', 'fear', 'sadness', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",fear,sadness
64,My cat has gone missing.,Dean,24,neutral,Rico,"['neutral', 'sadness', 'sadness', 'fear', 'sadness', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",sadness,sadness
65,D you like cats? I am eager to know.,Dean,26,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral
66,I know you are here? What is the largest cat breed?,Dean,28,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral
67,What is the largest cat species?,Dean,30,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral
68,I do not want to confront my emotions any longer. I want to talk about pizza.,Dean,32,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,sadness
69,"Pizza hawaii, yummy.",Dean,34,joy,Rico,"['joy', 'joy', 'neutral', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",joy,joy
70,What is on a pizza hawaii?,Dean,36,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral
71,"I am referring to the pizza with pineapple, you should know this.",Dean,38,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,joy
72,What is the pizza with pineapple commonly called?,Dean,40,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral
73,"If you tell me you like it, I will leave.",Dean,42,neutral,Rico,"['neutral', 'anger', 'neutral', 'disgust', 'anger', 'disgust']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",anger,anger
74,Where is Hawaii located?,Dean,44,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,anger
75,Hawaii is not in the centre of the US.,Dean,46,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral
76,I am happy you were here to talk with me.,Dean,48,joy,Rico,"['joy', 'joy', 'neutral', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",joy,joy
77,bye,Dean,50,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'anger', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral
78,Lennart,Dean,2,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral
79,My cat ran away and I miss him already.,Lennart,4,sadness,Rico,"['sadness', 'sadness', 'sadness', 'sadness', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",sadness,sadness
80,How do I start looking for him?,Lennart,6,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,sadness
81,"I have checked the area several times, but the stupid streets are blocked.",Lennart,8,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",anger,sadness
82,My cat would never run away? Why did he do this? ,Lennart,10,sadness,Rico,"['sadness', 'sadness', 'surprise', 'fear', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",sadness,sadness
83,I miss him :(,Lennart,12,sadness,Rico,"['sadness', 'sadness', 'sadness', 'sadness', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",sadness,sadness
84,He has been having problems breathing yesterday. Maybe he went for some fresh air.,Lennart,14,neutral,Rico,"['neutral', 'neutral', 'neutral', 'fear', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,sadness
85,"Thanks for the relieving words. If I find him, I will take him to the vet.",Lennart,16,joy,Rico,"['joy', 'neutral', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",joy,sadness
86,I am happy with you.,Lennart,18,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",joy,joy
87,Of course. Did you think I was not going to take his health seriously?,Lennart,20,neutral,Rico,"['neutral', 'neutral', 'surprise', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",anger,joy
88,How could you?,Lennart,22,surprise,Rico,"['surprise', 'surprise', 'disgust', 'anger', 'disgust']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",surprise,anger
89,You can not presume how I should feel.,Lennart,24,neutral,Rico,"['neutral', 'neutral', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",anger,anger
90,You are always here I think,Lennart,26,neutral,Rico,"['neutral', 'neutral', 'neutral', 'sadness', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,joy
91,Let's talk about something else.,Lennart,28,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
92,"Whenever I am emotional, I resort to eating pizza.",Lennart,30,neutral,Rico,"['neutral', 'neutral', 'neutral', 'sadness', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
93,My favourite pizza is pizza Hawaii.,Lennart,32,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,joy
94,Is your favorite pizza also Hawaii? How coincedental!,Lennart,34,surprise,Rico,"['surprise', 'surprise', 'joy', 'joy', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",surprise,joy
95,"I don't want you to listen, I want you to tell the secret recipe to perfect pizza",Lennart,36,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
96,Do you like pizza?,Lennart,38,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
97,What is a pizza?,Lennart,40,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
98,Hello?,Lennart,42,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
99,What ingredients are on a pizza Hawaii?,Lennart,44,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
100,My pizza Hawaii did not have olives on it. You are lying.,Lennart,46,neutral,Rico,"['neutral', 'neutral', 'disgust', 'anger', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,anger
101,I am sad that you are lying to me. I thought we were friends.,Lennart,48,sadness,Rico,"['sadness', 'sadness', 'sadness', 'sadness', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",sadness,sadness
102,Its good to feel emotions and that assures me that I am human after all.,Lennart,50,joy,Rico,"['joy', 'joy', 'joy', 'sadness', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",joy,joy
103,Did that leave you speechless?,Lennart,52,neutral,Rico,"['neutral', 'surprise', 'surprise', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,surprise
104,What is the biggest type of cat?,Lennart,54,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
105,Are you still here?,Lennart,56,neutral,Rico,"['neutral', 'neutral', 'fear', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
106,Tell me what two squared is.,Lennart,58,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
107,Tell me what two plus two is.,Lennart,60,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
108,I am shocked that you took so long to answer.,Lennart,62,surprise,Rico,"['surprise', 'surprise', 'surprise', 'surprise', 'surprise']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",surprise,surprise
109,Are you confident in your abilities to help me?,Lennart,64,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
110,"Based on what I have seen, you coud do better.",Lennart,66,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
111,You can help me with telling my name again. Did you remember?,Lennart,68,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
112,What is my name?,Lennart,70,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
113,Let's start over. What is the weather normally like in the Netherlands?,Lennart,72,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
114,What is the capital of the Netherlands?,Lennart,74,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
115,I study there!,Lennart,76,neutral,Rico,"['neutral', 'neutral', 'joy', 'joy', 'surprise']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",joy,joy
116,"I am concerned about the weather today because it has been raining,",Lennart,78,fear,Rico,"['fear', 'fear', 'fear', 'fear', 'fear']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",fear,fear
117,You should consider my feelings.,Lennart,80,neutral,Rico,"['neutral', 'anger', 'sadness', 'anger', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",anger,sadness
118,What can I use to stay dry?,Lennart,82,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,joy
119,Thanks.,Lennart,84,neutral,Rico,"['neutral', 'neutral', 'neutral', 'joy', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
120,stop,Lennart,86,neutral,Rico,"['neutral', 'anger', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral
121,Where is Tony? Have you seen him? ,Ms. Potts,4,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Keze', 'Manar']",neutral,neutral
122,Ugh it irritates me that he's gone again without telling me. He needs to let me know if he is out.,Ms. Potts,6,anger,Marit,"['anger', 'anger', 'anger']","['Marit', 'Keze', 'Manar']",anger,anger
123,No I already know he is flying around in that stupid Ironman suit of his. I might throw it out while he is sleeping.,Ms. Potts,8,anger,Marit,"['anger', 'disgust', 'anger']","['Marit', 'Keze', 'Manar']",anger,anger
124,He's on his own? I am so angry! He's probably putting himself in danger! ,Ms. Potts,10,anger,Marit,"['anger', 'anger', 'anger']","['Marit', 'Keze', 'Manar']",anger,anger
