,utterance,speaker,turn_id,Gold,Annotator,Votes,Annotators,Adjudication,Go_Ekman,Go_EkmanScore,Go,GoScore
10,I guess it is fine. I just need someone to listen to me. ,Bill,24,neutral,Rico,"['neutral', 'neutral', 'sadness', 'sadness', 'anger', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",neutral,neutral,0.22161246836185455,approval,0.2797035574913025
11,Ok. I am taking deep breaths. It is good for my anxiety.,Bill,26,neutral,Rico,"['neutral', 'neutral', 'fear', 'neutral', 'joy', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",neutral,joy,0.12607626244425774,approval,0.184187650680542
12,I am not sure taking a break and taking deep breaths is enough,Bill,28,neutral,Rico,"['neutral', 'fear', 'fear', 'neutral', 'sadness', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",neutral,neutral,0.35513725876808167,neutral,0.35513725876808167
13,Yeah right...,Bill,30,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'sadness', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",neutral,joy,0.7218143343925476,approval,0.7218143343925476
14,"When I asked you to listen to me, you just stopped responding. That is so rude! That is not what good friends do!",Bill,32,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,anger,0.20704247802495956,annoyance,0.3059501051902771
15,You know it is Bill. LAst time you stopped the conversation out of nowhere. It was so rude!,Bill,2,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,anger,0.30475854873657227,annoyance,0.3523246645927429
16,I am starting my new job tomorrow and I am very nervous. ,Joe,4,fear,Rico,"['fear', 'fear', 'fear', 'sadness', 'fear']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",fear,fear,0.2967558950185776,fear,0.42897531390190125
17,Thank you. That is a good list. I need to remember to breath and I do deepdown know that everything will be fine.,Joe,6,neutral,Rico,"['neutral', 'neutral', 'neutral', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,joy,0.9625093936920166,gratitude,0.9625093936920166
18,At the same time I am also very excited and happy to start at this new place. It is an amazing opportunity for me. I am so very lucky.,Joe,8,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",joy,joy,0.28572722772757214,excitement,0.4485975503921509
19,It hasn't been just luck. I have worked really hard. I really do deserve this. Don't you think?,Joe,10,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,joy,0.136527289946874,optimism,0.18150076270103455
20,Thank you. You are very kind. ,Joe,12,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",joy,joy,0.9935723543167114,gratitude,0.9935723543167114
21,OMG! I just found out that I got fired before the job even started!! How can they do this? How dare they? And just via email!?? That is not professional!,Joe,14,anger,Rico,"['anger', 'anger', 'surprise', 'surprise', 'surprise']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",surprise,surprise,0.28169959783554077,surprise,0.40040478110313416
22,WHat? You have nothing to say? You are so rude! I am pouring my heart out and you just go quiet,Joe,16,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,anger,0.24250685423612595,anger,0.3171737492084503
23,AGAIN?!,Joe,18,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,neutral,0.3743516802787781,neutral,0.3743516802787781
24,I hate you! Why did you go silent the moment I needed you the most?,Joe,20,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,anger,0.32800500839948654,anger,0.5140069723129272
25,"You are too late. Too little, too late. You are so fake",Joe,22,anger,Rico,"['anger', 'anger', 'anger', 'disgust', 'disgust']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,anger,0.1709780345360438,disapproval,0.22853036224842072
26,"WHat do you mean ""you are treated unfairly""? You ignored me in my moment of need. You do not get to walk away. This is not like you. What is wrong with you?",Joe,24,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,neutral,0.19728878140449524,neutral,0.19728878140449524
27,You make no sense. I don't even see the point in talking to you anymore,Joe,26,neutral,Rico,"['neutral', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,anger,0.281649898737669,disapproval,0.4981445074081421
28,You do not get to play the victim card. Who raised you?,Joe,28,neutral,Rico,"['neutral', 'anger', 'anger', 'disgust', 'disgust']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,neutral,0.4832058846950531,neutral,0.4832058846950531
29,I am not. But I am not interested in explaining it to you since you do not seem to understand anything. I thought you were my friend...,Joe,30,sadness,Rico,"['sadness', 'sadness', 'sadness', 'sadness', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",sadness,neutral,0.3631156086921692,neutral,0.3631156086921692
30,You keep saying that,Joe,32,neutral,Rico,"['neutral', 'anger', 'neutral', 'neutral', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,neutral,0.7073211073875427,neutral,0.7073211073875427
31,And now I get the silent treatment.... I am so disappointed in you. My only friend is treating me like this.,Joe,34,sadness,Rico,"['sadness', 'disgust', 'sadness', 'disgust', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",sadness,sadness,0.3012561798095703,sadness,0.3984816372394562
32,Ok. Maybe we can turn a new leaf.,Joe,36,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,neutral,0.46278053522109985,neutral,0.46278053522109985
33,Isn't the weather so nice today!,Joe,38,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",joy,joy,0.4651874899864197,admiration,0.4651874899864197
34,WHy are you sorry to hear that?!?,Joe,40,surprise,Rico,"['surprise', 'surprise', 'surprise', 'surprise', 'surprise']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",surprise,surprise,0.22451645880937576,curiosity,0.34832802414894104
35,I am trying to start a new chapter but you keep saying the same things. I tried to give you a chance,Joe,42,neutral,Rico,"['neutral', 'sadness', 'sadness', 'sadness', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",sadness,neutral,0.2455657571554184,caring,0.2522767186164856
36,And now you are back to silent treatment. Why?,Joe,44,neutral,Rico,"['neutral', 'neutral', 'neutral', 'sadness', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,neutral,0.5725981593132019,neutral,0.5725981593132019
37,I guess it's better than nothing. You are doing your best,Joe,46,neutral,Rico,"['neutral', 'neutral', 'neutral', 'joy', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,joy,0.2222946137189865,admiration,0.29625892639160156
38,I am done with this conversation. Bye,Joe,48,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,joy,0.46635130047798157,approval,0.46635130047798157
39,Why are you asking? I am obviously not doing great.,Jason,4,sadness,Rico,"['sadness', 'sadness', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",anger,joy,0.27359238266944885,curiosity,0.3195854127407074
40,I am happy you are here to help. Finally I have met a real friend.,Jason,6,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",joy,joy,0.3612374849617481,joy,0.6526674628257751
41,I don't want to talk right now. I am not thinking straight at the moment.,Jason,8,neutral,Rico,"['neutral', 'anger', 'anger', 'sadness', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",anger,neutral,0.2388138771057129,disapproval,0.3494146168231964
42,Are you here? Show yourself now or I will leave.,Jason,10,neutral,Rico,"['neutral', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",anger,neutral,0.3739377558231354,neutral,0.3739377558231354
43,Are you still here?,Jason,12,neutral,Rico,"['neutral', 'neutral', 'anger', 'surprise', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral,0.3093538284301758,curiosity,0.4715809226036072
44,Great. I thought I lost you.,Jason,14,joy,Rico,"['joy', 'fear', 'joy', 'joy', 'sadness', 'surprise']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",joy,joy,0.3166467137634754,admiration,0.5195339322090149
45,Hello?,Jason,16,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral,0.6112746000289917,neutral,0.6112746000289917
46,Tell me about yourself.,Jason,18,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral,0.6919747591018677,neutral,0.6919747591018677
47,Sure. What your favorite country?,Jason,20,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,surprise,0.24966278672218323,curiosity,0.39093711972236633
48,Do you like pie?,Jason,22,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral,0.3998752236366272,curiosity,0.4013105034828186
49,Are you still here?,Jason,24,neutral,Rico,"['neutral', 'neutral', 'neutral', 'fear', 'sadness', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral,0.3093538284301758,curiosity,0.4715809226036072
50,Can you tell me something about you?,Jason,26,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral,0.3372129201889038,curiosity,0.4874088764190674
51,I am asking a question and you are not reacting to it.,Jason,28,neutral,Rico,"['neutral', 'anger', 'surprise', 'anger', 'anger', 'sadness']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",anger,neutral,0.3178391456604004,neutral,0.3178391456604004
52,stop,Jason,30,neutral,Rico,"['neutral', 'anger', 'neutral', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",anger,anger,0.32740457355976105,anger,0.5435594916343689
53,Dean,Jason,2,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral,0.8993539810180664,neutral,0.8993539810180664
54,Tell me about yourself.,Dean,4,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral,0.6919747591018677,neutral,0.6919747591018677
55,How long have you been doing this?,Dean,6,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,surprise,0.3117782846093178,curiosity,0.5070527791976929
56,"Why are you happy about this? You should be worried, because I am.",Dean,8,fear,Rico,"['fear', 'sadness', 'fear', 'anger', 'fear', 'fear']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",fear,surprise,0.24336401000618935,curiosity,0.36592012643814087
57,I need assistance. I am feeling scared.,Dean,10,fear,Rico,"['fear', 'fear', 'fear', 'fear', 'fear', 'fear']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",fear,fear,0.40130048245191574,fear,0.738941490650177
58,Can you help me?,Dean,12,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,surprise,0.3672756776213646,curiosity,0.6372358798980713
59,My cat has run away and I think I will never find him again!,Dean,14,fear,Rico,"['fear', 'fear', 'fear', 'fear', 'sadness', 'fear']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",fear,neutral,0.3199693262577057,neutral,0.3199693262577057
60,I am so happy you have let me know that he is probably out there!,Dean,16,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",joy,joy,0.2581288392345111,joy,0.4671071767807007
61,Why is everyone proud of it? It is my cat and I am the only one who is allowed to feel emotions towards him.,Dean,18,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",anger,surprise,0.21143147721886635,curiosity,0.3422941565513611
62,"It is my cat, not yours.",Dean,20,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",anger,neutral,0.4905967712402344,neutral,0.4905967712402344
63,How can we find him? He is probably dead already.,Dean,22,neutral,Rico,"['neutral', 'fear', 'fear', 'fear', 'sadness', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",fear,surprise,0.32098184898495674,curiosity,0.5487059950828552
64,My cat has gone missing.,Dean,24,neutral,Rico,"['neutral', 'sadness', 'sadness', 'fear', 'sadness', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",sadness,sadness,0.2073763608932495,sadness,0.26167935132980347
65,D you like cats? I am eager to know.,Dean,26,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,surprise,0.2699587419629097,curiosity,0.4003221094608307
66,I know you are here? What is the largest cat breed?,Dean,28,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,surprise,0.3379993364214897,curiosity,0.5385614037513733
67,What is the largest cat species?,Dean,30,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral,0.4007721543312073,curiosity,0.4124041199684143
68,I do not want to confront my emotions any longer. I want to talk about pizza.,Dean,32,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,joy,0.27837270498275757,desire,0.27837270498275757
69,"Pizza hawaii, yummy.",Dean,34,joy,Rico,"['joy', 'joy', 'neutral', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",joy,neutral,0.5872759222984314,neutral,0.5872759222984314
70,What is on a pizza hawaii?,Dean,36,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral,0.3202858865261078,curiosity,0.38537049293518066
71,"I am referring to the pizza with pineapple, you should know this.",Dean,38,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral,0.7279406189918518,neutral,0.7279406189918518
72,What is the pizza with pineapple commonly called?,Dean,40,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral,0.35354700684547424,curiosity,0.45208704471588135
73,"If you tell me you like it, I will leave.",Dean,42,neutral,Rico,"['neutral', 'anger', 'neutral', 'disgust', 'anger', 'disgust']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",anger,neutral,0.4287291169166565,neutral,0.4287291169166565
74,Where is Hawaii located?,Dean,44,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,surprise,0.3171057924628258,curiosity,0.5089316964149475
75,Hawaii is not in the centre of the US.,Dean,46,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral,0.6163986325263977,neutral,0.6163986325263977
76,I am happy you were here to talk with me.,Dean,48,joy,Rico,"['joy', 'joy', 'neutral', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",joy,joy,0.7715480923652649,joy,0.7715480923652649
77,bye,Dean,50,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'anger', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral,0.9644277691841125,neutral,0.9644277691841125
78,Lennart,Dean,2,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ', 'Reihane Rashid']",neutral,neutral,0.8138225078582764,neutral,0.8138225078582764
79,My cat ran away and I miss him already.,Lennart,4,sadness,Rico,"['sadness', 'sadness', 'sadness', 'sadness', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",sadness,sadness,0.2575545944273472,sadness,0.40357109904289246
80,How do I start looking for him?,Lennart,6,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,surprise,0.347150806337595,curiosity,0.5762476921081543
81,"I have checked the area several times, but the stupid streets are blocked.",Lennart,8,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",anger,anger,0.2863898351788521,annoyance,0.3825436532497406
82,My cat would never run away? Why did he do this? ,Lennart,10,sadness,Rico,"['sadness', 'sadness', 'surprise', 'fear', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",sadness,surprise,0.2991977408528328,curiosity,0.37069880962371826
83,I miss him :(,Lennart,12,sadness,Rico,"['sadness', 'sadness', 'sadness', 'sadness', 'sadness']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",sadness,sadness,0.2651060496767362,sadness,0.6520780324935913
84,He has been having problems breathing yesterday. Maybe he went for some fresh air.,Lennart,14,neutral,Rico,"['neutral', 'neutral', 'neutral', 'fear', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral,0.3874984383583069,neutral,0.3874984383583069
85,"Thanks for the relieving words. If I find him, I will take him to the vet.",Lennart,16,joy,Rico,"['joy', 'neutral', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",joy,joy,0.9721193909645081,gratitude,0.9721193909645081
86,I am happy with you.,Lennart,18,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",joy,joy,0.2798039602736632,joy,0.7107107043266296
87,Of course. Did you think I was not going to take his health seriously?,Lennart,20,neutral,Rico,"['neutral', 'neutral', 'surprise', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",anger,surprise,0.20460473746061325,curiosity,0.29810604453086853
88,How could you?,Lennart,22,surprise,Rico,"['surprise', 'surprise', 'disgust', 'anger', 'disgust']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",surprise,neutral,0.35589542984962463,curiosity,0.4749082922935486
89,You can not presume how I should feel.,Lennart,24,neutral,Rico,"['neutral', 'neutral', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",anger,neutral,0.42418548464775085,neutral,0.42418548464775085
90,You are always here I think,Lennart,26,neutral,Rico,"['neutral', 'neutral', 'neutral', 'sadness', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral,0.3040520250797272,approval,0.40451905131340027
91,Let's talk about something else.,Lennart,28,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral,0.6836727857589722,neutral,0.6836727857589722
92,"Whenever I am emotional, I resort to eating pizza.",Lennart,30,neutral,Rico,"['neutral', 'neutral', 'neutral', 'sadness', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral,0.5352867841720581,neutral,0.5352867841720581
93,My favourite pizza is pizza Hawaii.,Lennart,32,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,joy,0.25485752274592716,love,0.5044786334037781
94,Is your favorite pizza also Hawaii? How coincedental!,Lennart,34,surprise,Rico,"['surprise', 'surprise', 'joy', 'joy', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",surprise,surprise,0.30973562598228455,curiosity,0.30973562598228455
95,"I don't want you to listen, I want you to tell the secret recipe to perfect pizza",Lennart,36,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral,0.2575470209121704,neutral,0.2575470209121704
96,Do you like pizza?,Lennart,38,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral,0.41136616468429565,curiosity,0.4210319221019745
97,What is a pizza?,Lennart,40,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral,0.3328728675842285,curiosity,0.46522262692451477
98,Hello?,Lennart,42,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral,0.6112746000289917,neutral,0.6112746000289917
99,What ingredients are on a pizza Hawaii?,Lennart,44,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral,0.28766146302223206,curiosity,0.41052961349487305
100,My pizza Hawaii did not have olives on it. You are lying.,Lennart,46,neutral,Rico,"['neutral', 'neutral', 'disgust', 'anger', 'neutral']","['Rico', 'Giulia', 'Ella', 'Lianne', 'Thomas ']",neutral,neutral,0.695075511932373,neutral,0.695075511932373
