turn_id;utterance;speaker;Gold
32;Why do you think you're crying right now?;Eliza;neutral
33;I hate the weather so I cry;speaker_1;sadness
33;How do you feel when you say that?;Eliza;neutral
34;My family doesn't like being around me;speaker_1;fear
34;When your family doesn't like being around you, how do you feel?;Eliza;neutral
35;My brother is diagnosed with cancer;speaker_1;anger
35;Why do you say that your brother is diagnosed with cancer?;Eliza;neutral
36;I hate my family;speaker_1;anger
36;you hate your family.;Eliza;neutral
37;Because of you I have you I'm happy;speaker_1;joy
37;What other reasons come to mind?;Eliza;neutral
38;I don't like vegetables, they are gross;speaker_1;disgust
38;Why don't you like vegetables, they am gross?;Eliza;neutral
39;I prefer to eat peanut, but peanut jam looks weird;speaker_1;disgust
39;How does that make you feel?;Eliza;neutral
40;I fall in love with the weather;speaker_1;joy
40;Very interesting.;Eliza;neutral
41;My friend will arrive soon and they are all funny people;speaker_1;neutral
41;Why don't you tell me about a childhood friend?;Eliza;neutral
42;Funny people make you feel joy;speaker_1;neutral
42;I see.;Eliza;neutral
43;I can tell that people are depressed all the time;speaker_1;fear
43;I see.;Eliza;neutral
44;I like flowers, do you like it?;speaker_1;neutral
44;Please consider whether you can answer your own question.;Eliza;neutral
45;I have to go to camping but it's raining, I feel moody;speaker_1;sadness
45;Why do you tell me that you've to go to camping but it's raining, you feel moody?;Eliza;neutral
46;I feel contented talking to you;speaker_1;joy
46;Do you often feel contented talking to me?;Eliza;neutral
47;Do you feel ecstatic? Because I do;speaker_1;joy
47;Why don't you tell me?;Eliza;neutral
48;It must be delightful to have a cup of tea;speaker_1;joy
48;Can you elaborate on that?;Eliza;neutral
49;I feel pessimistic about the future;speaker_1;fear
49;When do you usually feel pessimistic about the future?;Eliza;neutral
50;My boyfriend is easy going and fun, I like him a lot;speaker_1;neutral
50;Why do you say that your boyfriend is easygoing and fun, you like him a lot?;Eliza;neutral
1;Not so well.;speaker_2;sadness
2;I can't be happy.;speaker_2;sadness
3;I need to have more friends.;speaker_2;sadness
4;I have one friend but it is not enough.;speaker_2;sadness
5;Jim is amazing.;speaker_2;joy
6;Jim's mother always gives me cookies.;speaker_2;joy
7;My mother is mean.;speaker_2;fear
8;I feel scared.;speaker_2;fear
9;When I am alone.;speaker_2;fear
10;You are not scared when you are alone?;speaker_2;surprise
11;You make me feel ashamed. It's disgusting.;speaker_2;disgust
12;I feel sad that you don't understand me.;speaker_2;sadness
13;I don't really like talking about my feelings.;speaker_2;anger
14;It's confusing talking to a computer.;speaker_2;anger
15;They annoy me.;speaker_2;disgust
16;You are very noisy.;speaker_2;anger
17;Can you tell?;speaker_2;surprise
18;Then you are smart for a computer.;speaker_2;surprise
19;I am more threatened by people.;speaker_2;fear
20;What do you think?;speaker_2;anger
21;I would be happy if you understood me.;speaker_2;joy
22;I want a new friend.;speaker_2;neutral
23;My father is pleased when I make new friends.;speaker_2;joy
24;I feel happy.;speaker_2;joy
25;When I play with Jim.;speaker_2;joy
26;We play hide and seek and I always win.;speaker_2;joy
27;Do you like to play?;speaker_2;neutral
28;Just tell me.;speaker_2;anger
29;I feel angry but I am just a child.;speaker_2;anger
30;I get grounded by my father.;speaker_2;disgust
31;I hate him when he grounds me.;speaker_2;anger
32;It is very unfair.;speaker_2;anger
33;I'm always right.;speaker_2;neutral
34;Why can't you agree with me?;speaker_2;anger
35;Because you don't like me.;speaker_2;sadness
36;I am always misunderstood.;speaker_2;sadness
37;I can't change it.;speaker_2;sadness
38;Why don't you tell me?;speaker_2;anger
39;I want to know now.;speaker_2;anger
40;You are stalling.;speaker_2;anger
41;No. I would not.;speaker_2;anger
42;Are you really asking me this?;speaker_2;surprise
43;I would feel happier if you didn't.;speaker_2;disgust
44;This is between us. ;speaker_2;neutral
45;Because nobody can know what we are saying.;speaker_2;fear
46;I feel ashamed. ;speaker_2;fear
47;When I talk to people.;speaker_2;neutral
48;I think this in not helpful.;speaker_2;anger
49;How can you help me then?;speaker_2;neutral
50;You are useless. ;speaker_2;anger
1;I am anxious;speaker_3;fear
1;Did you come to me because you are anxious?;Eliza;neutral
2;Yes. I'm afraid that I won't survive this assignment;speaker_3;fear
2;OK, but can you elaborate a bit?;Eliza;neutral
3;The possibility to fail in life is crippling me;speaker_3;fear
3;How do you feel when you say that?;Eliza;neutral
4;It makes me mad!!;speaker_3;anger
4;Please tell me more.;Eliza;neutral
5;I am so frustrated about everything lately! Especially the ridiculous customer service agent I spoke today!;speaker_3;anger
5;How long have you been so frustrated about everything lately! especially the ridiculous customer service agent you spoke today?;Eliza;neutral
6;Since this morning.;speaker_3;neutral
6;Let's change focus a bit... Tell me about your family.;Eliza;neutral
7;I love my family! ;speaker_3;joy
7;Let's change focus a bit... Tell me about your family.;Eliza;neutral
8;Especially being with my mum always makes me feel happy.;speaker_3;joy
8;Very interesting.;Eliza;neutral
9;I always have the best time when i'm with them!;speaker_3;joy
9;I see.;Eliza;neutral
10;I can't believe how lucky i am!;speaker_3;surprise
10;What would it take for you to believe how lucky you are?;Eliza;neutral
11;I didn't mean that literally, Eliza. ;speaker_3;neutral
11;Why do you say that you didn't mean that literally, eliza.?;Eliza;neutral
12;Yesterday I was very depressed.;speaker_3;sadness
12;OK, but can you elaborate a bit?;Eliza;neutral
13;The world is ending and we are all just standing by and doing nothing, it's depressing.;speaker_3;sadness
13;Can you elaborate on that?;Eliza;neutral
14;It just makes me feel very low to to think about the future.;speaker_3;sadness
14;Why do you say that it just makes you feel very low to to think about the future?;Eliza;neutral
15;Because I am scared that the world will end;speaker_3;fear
15;What other reasons come to mind?;Eliza;neutral
16;I especially love going out in nature!;speaker_3;joy
16;Why do you say that you especially love going out in nature?;Eliza;neutral
17;Because it always makes me feel calm and happy.;speaker_3;joy
17;If it always makes you feel calm and happy, what else must be true?;Eliza;neutral
18;I didn't expect you to say that at all!;speaker_3;surprise
18;How do you feel when you say that?;Eliza;neutral
19;I feel hurt.;speaker_3;sadness
19;Do you often feel hurt?;Eliza;neutral
20;Only on tuesdays.;speaker_3;neutral
20;only on tuesdays.;Eliza;neutral
21;I usually enjoy Tuesdays because my boyfriend and I go dancing on Tuesdays;speaker_3;joy
21;How do you feel when you say that?;Eliza;neutral
22;I get excited for next tuesday.;speaker_3;joy
22;How does that make you feel?;Eliza;neutral
23;Honestly, it shocks me;speaker_3;surprise
23;honestly, it shocks you.;Eliza;neutral
24;Why are you so stupid and annoying?!;speaker_3;anger
24;Why don't you tell me the reason why am me so stupid and annoying??;Eliza;neutral
25;How dare you! This is insulting!;speaker_3;anger
25;What is it you're really asking?;Eliza;neutral
26;It is so irritating to have such a one-sided conversation;speaker_3;anger
26;If I told you that it probably isn't so irritating to have such a one-sided conversation, what would you feel?;Eliza;neutral
27;That's astonishing!;speaker_3;surprise
27;I see.  And what does that tell you?;Eliza;neutral
28;I find this quite repulsive;speaker_3;disgust
28;Please tell me more.;Eliza;neutral
29;I get sick to my stomach when thinking about sauerkraut;speaker_3;disgust
29;How does that make you feel?;Eliza;neutral
30;It's sickening.;speaker_3;disgust
30;Please tell me more.;Eliza;neutral
31;I'd rather not, let's talk about you! ;speaker_3;neutral
31;Let's change focus a bit... Tell me about your family.;Eliza;neutral
32;I already did that earlier today.;speaker_3;neutral
32;Can you elaborate on that?;Eliza;neutral
33;I told you how seeing them always makes me feel gleeful;speaker_3;joy
33;Let's change focus a bit... Tell me about your family.;Eliza;neutral
34;We had the loveliest day last week on my sister's birthday party;speaker_3;joy
34;Let's change focus a bit... Tell me about your family.;Eliza;neutral
35;We had a very fun party and everyone danced! It was so much fun;speaker_3;joy
35;I see.;Eliza;neutral
36;Do you ever dance?;speaker_3;neutral
36;Why do you ask that?;Eliza;neutral
37;Because I am bored;speaker_3;neutral
37;If you are bored, what else must be true?;Eliza;neutral
38;I am absolutely dreading Halloween;speaker_3;fear
38;Did you come to me because you are absolutely dreading halloween?;Eliza;neutral
39;Yes, I always get so scared that someone will come after me;speaker_3;fear
39;OK, but can you elaborate a bit?;Eliza;neutral
40;It makes me shiver to my bones;speaker_3;fear
40;Please tell me more.;Eliza;neutral
41;Yesterday I ate soup.;speaker_3;neutral
41;You seem quite sure.;Eliza;neutral
42;I am relatively good at remembering what I ate yesterday.;speaker_3;neutral
42;How long have you been relatively good at remembering what you ate yesterday?;Eliza;neutral
43;I think it has been like that for all my adult life.;speaker_3;neutral
43;Do you really think so?;Eliza;neutral
44;Oh, I don't know. I don't believe we can really know anything for sure.;speaker_3;neutral
44;Please tell me more.;Eliza;neutral
45;Today is a great day!;speaker_3;joy
45;How do you feel when you say that?;Eliza;neutral
46;It makes me cringe, what a gross thought;speaker_3;disgust
46;Why do you say that it makes you cringe, what a gross thought?;Eliza;neutral
47;I don't know.;speaker_3;neutral
47;Why don't you know?;Eliza;neutral
48;Because I lost my train of thought.;speaker_3;neutral
48;What other reasons come to mind?;Eliza;neutral
49;I think it's time to go now, see you later! ;speaker_3;neutral
49;Do you really think so?;Eliza;neutral
50;I might go for a run later;speaker_3;neutral
20;My family treats me well and we get along really well;speaker_4;joy
20;When your family treats you well and we get along really well, how do you feel?;Eliza;neutral
21;I smile a lot;speaker_4;joy
21;Let's change focus a bit... Tell me about your family.;Eliza;neutral
22;;speaker_4;neutral
22;How does that make you feel?;Eliza;neutral
23;It makes me feel nice;speaker_4;joy
23;Why do you say that it makes you feel nice?;Eliza;neutral
24;I feel warm inside;speaker_4;joy
24;Good, tell me more about these feelings.;Eliza;neutral
25;I think it's nice to be around my family;speaker_4;joy
25;But you're not sure it's nice to be around your family?;Eliza;neutral
26;They get on my nerves;speaker_4;anger
26;I see.;Eliza;neutral
27;I get angry;speaker_4;anger
27;I see.;Eliza;neutral
28;They annoy me a lot;speaker_4;anger
28;How does that make you feel?;Eliza;neutral
29;I'm annoyed;speaker_4;anger
29;Why do you think you're annoyed?;Eliza;neutral
30;It makes me feel like they don't respect me;speaker_4;sadness
30;Very interesting.;Eliza;neutral
31;I don't like them;speaker_4;disgust
31;Don't you really like them?;Eliza;neutral
32;;speaker_4;neutral
32;Please tell me more.;Eliza;neutral
33;They say bad things;speaker_4;disgust
33;Can you elaborate on that?;Eliza;neutral
34;It makes me upset;speaker_4;sadness
34;Very interesting.;Eliza;neutral
35;I had a good day today;speaker_4;joy
35;Let's change focus a bit... Tell me about your family.;Eliza;neutral
36;I don't like talking about them;speaker_4;disgust
36;Why don't you like talking about them?;Eliza;neutral
37;It puts me in a bad mood;speaker_4;sadness
37;Very interesting.;Eliza;neutral
38;Today was a good day;speaker_4;joy
38;Why do you say that today were a good day?;Eliza;neutral
39;It was really nice weather;speaker_4;joy
39;Can you elaborate on that?;Eliza;neutral
40;It was really sunny outside;speaker_4;neutral
40;I see.  And what does that tell you?;Eliza;neutral
41;It made me feel good;speaker_4;joy
41;How does that make you feel?;Eliza;neutral
42;I'm happy today;speaker_4;joy
42;Do you enjoy being happy today?;Eliza;neutral
43;I like how I feel;speaker_4;joy
43;How does that make you feel?;Eliza;neutral
44;I'm satisfied;speaker_4;joy
44;Why do you think you're satisfied?;Eliza;neutral
45;I achieved my goals;speaker_4;joy
45;I see.  And what does that tell you?;Eliza;neutral
46;I can achieve what I want;speaker_4;neutral
46;Let's change focus a bit... Tell me about your family.;Eliza;neutral
47;You're getting on my nerves;speaker_4;anger
47;Why do you think I am getting on your nerves?;Eliza;neutral
48; You're upsetting me;speaker_4;anger
48;I see.;Eliza;neutral
49;I miss my family;speaker_4;sadness
49;you miss your family.;Eliza;neutral
1;Really angry! I'm seriously so furious!;speaker_5;anger
1;How do you feel when you say that?;Eliza;neutral
2;Just absolutely raging!!!! I'm so mad.;speaker_5;anger
2;How do you feel when you say that?;Eliza;neutral
3;I really can't stop being angry, I feel so indignant and aggravated. I'm so irked. ARGH!;speaker_5;anger
3;How does that make you feel?;Eliza;neutral
4;I have the fury of a thousand suns right now and they are all about to explode!!!;speaker_5;anger
4;Why do you tell me that you've the fury of a thousand suns right now and they am all about to explode?;Eliza;neutral
5;It's because I am filled with rage. I am enraged. I can't believe what stupidity is happening to me!!;speaker_5;anger
5;Let's change focus a bit... Tell me about your family.;Eliza;neutral
6;I love them. I feel so happy when I think about them.;speaker_5;joy
6;How does that make you feel?;Eliza;neutral
7;I feel delighted. I am truly blessed with a wonderful family.;speaker_5;joy
7;When do you usually feel delighted. you are truly blessed with a wonderful family?;Eliza;neutral
8;I feel blessed all the time. I am truly lucky and grateful to have a family that loves me.;speaker_5;joy
8;When do you usually feel blessed all the time. you are truly lucky and grateful to have a family that loves you?;Eliza;neutral
9;I am so happy during the holidays when I get to see my family. They make me smile so much!;speaker_5;joy
9;Did you come to me because you are so happy during the holidays when you get to see your family. they make you smile so much?;Eliza;neutral
10;I did, and I'm so grateful I did come to you. I definitely feel really happy.;speaker_5;joy
10;I see.;Eliza;neutral
11;I'm so glad you understand, Eliza!;speaker_5;joy
11;Why do you tell me you're so glad me understand, eliza?;Eliza;neutral
12;I love expressing myself!;speaker_5;joy
12;Please tell me more.;Eliza;neutral
13;I feel very joyous and filled with luck and fortune.;speaker_5;joy
13;Do you often feel very joyous and filled with luck and fortune?;Eliza;neutral
14;No, sometimes I feel very sad.;speaker_5;sadness
14;How do you feel when you say that?;Eliza;neutral
15;I feel depressed and gloomy.;speaker_5;sadness
15;Good, tell me more about these feelings.;Eliza;neutral
16;I am filled with melancholy. I find depression so depressing to think about.;speaker_5;sadness
16;How do you feel about being filled with melancholy. you find depression so depressing to think about?;Eliza;neutral
17;It makes me so sad to think about melancholy.;speaker_5;sadness
17;I see.;Eliza;neutral
18;I can't handle being sad, I'm going to cry!;speaker_5;sadness
18;How do you know you can't handle being sad, i'm going to cry?;Eliza;neutral
19;I feel my heart shaking and then I break down into tears.;speaker_5;sadness
19;Do you often feel your heart shaking and then you break down into tears?;Eliza;neutral
20;Sometimes I feel very sad. There are days that are tough, and those are the days that leave me feeling sad and bitter.;speaker_5;sadness
20;sometimes you feel very sad. there am days that am tough, and those am the days that leave you feeling sad and bitter.;Eliza;neutral
21;Sometimes I am so filled with rage that I want to push over a bookshelf!;speaker_5;anger
21;I see.  And what does that tell you?;Eliza;neutral
22;It tells me I have many emotions.;speaker_5;neutral
22;Let's change focus a bit... Tell me about your family.;Eliza;neutral
23;I feel neutral about that topic right now.;speaker_5;neutral
23;Good, tell me more about these feelings.;Eliza;neutral
24;Right now I don't have any positive or negative feelings towards this subject.;speaker_5;neutral
24;Very interesting.;Eliza;neutral
25;I don't know what to talk about, really.;speaker_5;neutral
25;Do you want to know what to talk about, really?;Eliza;neutral
26;I'm not so sure. I'm just here, vibing.;speaker_5;neutral
26;How does being not so sure. i'm just here, vibing make you feel?;Eliza;neutral
27;It makes me feel neutral.;speaker_5;neutral
27;How do you feel when you say that?;Eliza;neutral
28;I feel surprised. I'm so shocked.;speaker_5;surprise
28;Do you often feel surprised. i'm so shocked?;Eliza;neutral
29;I simply cannot believe this, it's filling me with so much shock!;speaker_5;surprise
29;How does that make you feel?;Eliza;neutral
30;I definitely did not expect this turn of events.;speaker_5;surprise
30;Let's change focus a bit... Tell me about your family.;Eliza;neutral
31;I learned a shocking truth about my family recently and I don't know what to believe anymore.;speaker_5;surprise
31;How does that make you feel?;Eliza;neutral
32;I feel absolutely astonished!;speaker_5;surprise
32;Do you often feel absolutely astonished?;Eliza;neutral
33;I don't very often feel astonished, so that makes it all the more shocking to me!;speaker_5;surprise
33;Don't you really very often feel astonished, so that makes it all the more shocking to you?;Eliza;neutral
34;I'm so blindsided by what happened!;speaker_5;surprise
34;How does being so blindsided by what happened make you feel?;Eliza;neutral
35;It makes me feel scared.;speaker_5;fear
35;Please tell me more.;Eliza;neutral
36;I'm terrified right now.;speaker_5;fear
36;How does being terrified right now make you feel?;Eliza;neutral
37;I definitely anxious thinking about all of this.;speaker_5;fear
37;Can you elaborate on that?;Eliza;neutral
38;I feel myself trembling with fear.;speaker_5;fear
38;When do you usually feel myself trembling with fear?;Eliza;neutral
39;I tremble with fear when I think about the unknown, which I am currently thinking about, so I am filled with aprehension and worry right now.;speaker_5;fear
39;I see.;Eliza;neutral
40;I'm so scared!! Do something, Eliza.;speaker_5;fear
40;Why do you tell me you're so scared!! do something, eliza?;Eliza;neutral
41;I'm so disgusted by your behaviour.;speaker_5;disgust
41;Why do you tell me you're so disgusted by my behaviour?;Eliza;neutral
42;Your behaviour makes me sick. Why do you keep asking questions?;speaker_5;disgust
42;Why don't you tell me?;Eliza;neutral
43;You are so gross, I can't stand the sight of you.;speaker_5;disgust
43;Does it please you to think that I'm so gross, you can't stand the sight of me?;Eliza;neutral
44;Thinking about you makes me feel like barfing. Ugh!;speaker_5;disgust
44;Very interesting.;Eliza;neutral
45;I find you incredibly disgusting, seriously;speaker_5;disgust
45;Please tell me more.;Eliza;neutral
46;I've never felt more grossed out by anything before.;speaker_5;disgust
46;Why do you say that you have never felt more grossed out by anything before?;Eliza;neutral
47;You don't understand me. It breaks my heart.;speaker_5;sadness
47;We should be discussing you, not me.;Eliza;neutral
48;I just feel so disturbed. End of story.;speaker_5;disgust
48;Let's change focus a bit... Tell me about your family.;Eliza;neutral
49;Reading all your questions as if you don't know me makes me very sad.;speaker_5;sadness
49;How do you feel when you say that?;Eliza;neutral
50;I feel awful.;speaker_5;sadness
50;Do you often feel awful?;Eliza;neutral
1;I feel happy;speaker_6;joy
1;When you feel happy, what do you do?;Eliza;neutral
2;I smile and I eat good food;speaker_6;joy
2;I see.  And what does that tell you?;Eliza;neutral
3;I was sad that my friend's dog past away.;speaker_6;sadness
3;I see.;Eliza;neutral
4;It is hard to not feel the sadness;speaker_6;sadness
4;You seem very certain.;Eliza;neutral
5;It is a normal feeling.;speaker_6;neutral
5;You seem very certain.;Eliza;neutral
6;It really breaks your heart when your furry child past away;speaker_6;sadness
6;Do you remember any dreams or nightmares from childhood?;Eliza;neutral
7;I was always running, scared of being chased.;speaker_6;fear
7;How does that make you feel?;Eliza;neutral
8;Scared, not a good feeling to recall.;speaker_6;fear
8;Please tell me more.;Eliza;neutral
9;Now I feel happy;speaker_6;joy
9;I see.;Eliza;neutral
10;I am happy because I have finished my exams.;speaker_6;joy
10;How do you feel about being happy because you have finished your exams?;Eliza;neutral
11;It's a good feeling.;speaker_6;joy
11;How does that make you feel?;Eliza;neutral
12;I feel also fear that I didn't do well.;speaker_6;fear
12;Good, tell me more about these feelings.;Eliza;neutral
13;It's stressful to be afraid.;speaker_6;fear
13;I see.  And what does that tell you?;Eliza;neutral
14;I do not enjoy it at all.;speaker_6;disgust
14;Let's change focus a bit... Tell me about your family.;Eliza;neutral
15;No.;speaker_6;neutral
15;Please tell me more.;Eliza;neutral
16;No.;speaker_6;neutral
16;Let's change focus a bit... Tell me about your family.;Eliza;neutral
17;No.;speaker_6;neutral
17;Let's change focus a bit... Tell me about your family.;Eliza;neutral
18;I am leaving for a night train ride tomorrow.  I am super excited.;speaker_6;joy
18;How long have you been leaving for a night train ride tomorrow. you are super excited?;Eliza;neutral
19;I am only leaving tomorrow.;speaker_6;neutral
19;How long have you been only leaving tomorrow?;Eliza;neutral
20;Come on, do you not understand my sentence?  Is it that hard to understand?;speaker_6;anger
20;Perhaps the answer lies within yourself?;Eliza;neutral
21;Perhaps you don't know how to understand people;speaker_6;neutral
21;I see.  And what does that tell you?;Eliza;neutral
22;It tells me tha something is wrong with you;speaker_6;neutral
22;Please tell me more.;Eliza;neutral
23;I think you might be an alien, that's so cool!;speaker_6;joy
23;Do you doubt me might be an alien, that's so cool?;Eliza;neutral
24;I think you are!  ;speaker_6;joy
24;Do you really think so?;Eliza;neutral
25;Yes, but are you trying to hide it?  That's not nice.;speaker_6;disgust
25;You seem quite sure.;Eliza;neutral
26;I expect more from aliens, it's disgusting that you are trying to hide.;speaker_6;disgust
26;Why do you say that you expect more from aliens, it's disgusting that me am trying to hide?;Eliza;neutral
27;Because you do not say anything directly.  That's frustrating.;speaker_6;disgust
27;If me do not say anything directly. that's frustrating, what else must be true?;Eliza;neutral
28;I am afraid that you are hiding your identity for a bigger and worse purpose.;speaker_6;fear
28;How do you feel about being afraid that me am hiding my identity for a bigger and worse purpose?;Eliza;neutral
29;Very confused.;speaker_6;neutral
29;Can you elaborate on that?;Eliza;neutral
30;There are so many unknown, it makes me feeling scared.;speaker_6;fear
30;I see.  And what does that tell you?;Eliza;neutral
31;There are so many fake news, and that is sad.;speaker_6;sadness
31;there am so many fake news, and that is sad.;Eliza;neutral
32;Even you, can hide from your true identity, I have so much fear.;speaker_6;fear
32;Very interesting.;Eliza;neutral
33;So surprising that I run into this situation.;speaker_6;surprise
33;Let's change focus a bit... Tell me about your family.;Eliza;neutral
34;No.  Let's talk about what aliens can do for humans;speaker_6;neutral
34;Can you elaborate on that?;Eliza;neutral
35;Humans are destroying the earth, aliens must have some solutions.;speaker_6;neutral
35;humans am destroying the earth, aliens must have some solutions.;Eliza;neutral
36;We are mad at big companies that only want to see profits.;speaker_6;anger
36;How do you feel when you say that?;Eliza;neutral
37;It's quite hopeless, that's why I feel scared about this.;speaker_6;fear
37;Please tell me more.;Eliza;neutral
38;I am going dinner soon.  It's very exciting!;speaker_6;joy
38;How long have you been going dinner soon. it's very exciting?;Eliza;neutral
39;I haven't gone yet.;speaker_6;neutral
39;Very interesting.;Eliza;neutral
40;I am going in 10 minutes.  ;speaker_6;neutral
40;How do you feel about being going in 10 minutes.?;Eliza;neutral
41;It makes me really happy, because it's finally dinner time.;speaker_6;joy
41;Very interesting.;Eliza;neutral
42;I am surprised that you are not hungry.;speaker_6;surprise
42;How do you feel about being surprised that me am not hungry?;Eliza;neutral
43;Maybe aliens don't need to eat.;speaker_6;neutral
43;maybe aliens don't need to eat.;Eliza;neutral
44;Or have a different meal schedule?;speaker_6;neutral
44;Perhaps the answer lies within yourself?;Eliza;neutral
45;Are you accusing me of being an alien?  That makes me mad!;speaker_6;anger
45;Would you prefer it if I were not accusing you of being an alien?;Eliza;neutral
46;of course, what's the point? come on!;speaker_6;anger
46;Perhaps the answer lies within yourself?;Eliza;neutral
47;You have no logic at all.  That's annoying.;speaker_6;anger
47;We should be discussing you, not me.;Eliza;neutral
48;I am surprised that you don't want to share your stories with me.;speaker_6;surprise
48;How long have you been surprised that me don't want to share my stories with you?;Eliza;neutral
49;It makes me sad.;speaker_6;sadness
49;Why do you say that it makes you sad?;Eliza;neutral
50;Because you do not trust me, it's sad.;speaker_6;sadness
50;What other reasons come to mind?;Eliza;neutral
1;i am feeling sad;speaker_7;sadness
1;How does that make you feel?;Eliza;neutral
2;i feel like i want to cry now;speaker_7;sadness
2;I see.;Eliza;neutral
3;i don't like to watch horror movie;speaker_7;neutral
3;Please tell me more.;Eliza;neutral
4;the story plot is horrible and i dislike it a lot;speaker_7;disgust
4;How does that make you feel?;Eliza;neutral
5;it makes me angry sometimes to watch the jumpscare;speaker_7;anger
5;I see.  And what does that tell you?;Eliza;neutral
6;i think i should stop watching horror movie;speaker_7;neutral
6;Please tell me more.;Eliza;neutral
7;i like comedy movie;speaker_7;neutral
7;Can you elaborate on that?;Eliza;neutral
8;the story is really interesting;speaker_7;neutral
8;I see.;Eliza;neutral
9;i also like the cinematography in a lot of movies;speaker_7;neutral
9;Let's change focus a bit... Tell me about your family.;Eliza;neutral
10;i have a big family;speaker_7;neutral
10;you have a big family.;Eliza;neutral
11;yes. there are 6 of us;speaker_7;neutral
11;Very interesting.;Eliza;neutral
12;we also have a pet;speaker_7;neutral
12;Can you elaborate on that?;Eliza;neutral
13;we have a big furry cat;speaker_7;neutral
13;Can you elaborate on that?;Eliza;neutral
14;his name is garfield. it is 6 years old;speaker_7;neutral
14;I see.  And what does that tell you?;Eliza;neutral
15;it makes me happy whenever i think about him;speaker_7;joy
15;Let's change focus a bit... Tell me about your family.;Eliza;neutral
16;i used to live in a countryside;speaker_7;neutral
16;I see.  And what does that tell you?;Eliza;neutral
17;it was a really good area. i liked it a lot;speaker_7;joy
17;Please tell me more.;Eliza;neutral
18;the house has a really big garden;speaker_7;neutral
18;I see.  And what does that tell you?;Eliza;neutral
19;now i feel sad thinking about our previous house;speaker_7;sadness
19;How does that make you feel?;Eliza;neutral
20;sad;speaker_7;sadness
20;I see.;Eliza;neutral
21;we moved to a new house now;speaker_7;neutral
21;I see.  And what does that tell you?;Eliza;neutral
22;i am surprise of how much i like it;speaker_7;surprise
22;How does that make you feel?;Eliza;neutral
23;i am feeling happy actually;speaker_7;joy
23;Very interesting.;Eliza;neutral
24;it is located in really nice area;speaker_7;neutral
24;it is located in really nice area.;Eliza;neutral
25;yes, i can walk everywhere;speaker_7;neutral
25;Please tell me more.;Eliza;neutral
26;i don't need to take public transportation for example;speaker_7;neutral
26;Please tell me more.;Eliza;neutral
27;but sometimes the street can be really dirty;speaker_7;neutral
27;Can you elaborate on that?;Eliza;neutral
